ID,Fabric_Type,Color,Gender,measurement_units,Price (₦),Season,Occasion,Location,Stitch_Quality,Style_Type,Sold_Status
329,Linen,Violet,Female,t,7103,festival,Casual,Port Harcourt,High,Traditional,Slow
330,Damask,Cream,Female,t,6148,normal,Casual,Abeokuta,Medium,Fashion,Fast
331,Linen,Violet,Female,t,6534,festival,Party,Benin,Medium,Fashion,Fast
332,Silk,Grey,Male,t,2199,normal,Office,Kano,Medium,Fashion,Fast
333,Irish,pitch,Male,t,2133,normal,Casual,Abeokuta,Medium,Traditional,Slow
334,Linen,Brown,Male,t,5913,normal,Party,Abeokuta,Medium,Casual,Slow
335,Licra,pitch,Female,t,6364,normal,Church,Kano,Low,Casual,Slow
336,Cashmen,White,Female,t,3850,normal,Party,Port Harcourt,Low,Corporate,Fast
337,Silk,Grey,Female,t,7813,normal,Church,Enugu,Medium,Corporate,Fast
338,Irish,Cream,Male,t,6273,festival,Party,Abeokuta,High,Casual,Slow
339,Jeans,Grey,Male,t,6112,festival,Office,Ibadan,Low,Traditional,Slow
340,Jonkoso,pitch,Female,t,5890,normal,Office,Ibadan,Low,Corporate,Fast
341,Silk,orange,Female,t,3334,festival,Wedding,Benin,Medium,Fashion,Fast
342,Rib,Yellow,Female,t,5580,festival,Wedding,Kano,Medium,Casual,Slow
343,Chinox,Red,Female,t,5059,festival,Church,Ibadan,High,Casual,Slow
344,Jonkoso,pitch,Female,t,3257,festival,Office,Lagos,Low,Fashion,Fast
345,Linen,Grey,Female,t,7986,festival,Wedding,Abeokuta,Medium,Corporate,Fast
346,Rib,wine,Male,t,3231,festival,Church,Lagos,Low,Traditional,Fast
347,Jeans,Red,Male,t,3337,normal,Office,Benin,High,Corporate,Slow
348,Sevenstar,orange,Male,t,6942,normal,Church,Abuja,Low,Casual,Fast
349,Irish,Blue,Male,t,6887,festival,Office,Ibadan,High,Corporate,Slow
350,Silk,pitch,Male,t,2982,festival,Party,Abuja,Low,Fashion,Fast
351,Damask,orange,Female,t,6783,festival,Party,Kano,Low,Casual,Fast
352,Sevenstar,orange,Male,t,5295,normal,Church,Abeokuta,High,Corporate,Fast
353,Irish,Brown,Male,t,7475,normal,Office,Abuja,Low,Traditional,Fast
354,Crepe,Pink,Male,t,6447,festival,Church,Ibadan,Low,Fashion,Slow
355,Damask,lilac,Male,t,7082,normal,Casual,Lagos,Low,Fashion,Slow
356,Sevenstar,Black,Female,t,6982,festival,Casual,Port Harcourt,Low,Fashion,Slow
357,Sevenstar,Grey,Female,t,2891,festival,Wedding,Ibadan,High,Traditional,Fast
358,Damask,Grey,Female,t,3985,normal,Church,Abuja,High,Casual,Slow
359,Brocade,Cream,Male,t,6557,festival,Office,Benin,Low,Corporate,Slow
360,Irish,Pink,Female,t,3916,festival,Office,Ibadan,High,Casual,Slow
361,Linen,Black,Female,t,7867,festival,Casual,Enugu,Low,Traditional,Slow
362,Chinox,pitch,Male,t,2535,normal,Party,Abuja,Medium,Casual,Slow
363,Jonkoso,wine,Male,t,4751,festival,Office,Ibadan,Low,Fashion,Fast
364,Crepe,orange,Female,t,4585,festival,Casual,Ibadan,High,Fashion,Slow
365,Silk,lilac,Female,t,3475,festival,Church,Kano,High,Fashion,Fast
366,Chinox,Red,Male,t,6031,normal,Church,Ibadan,High,Traditional,Fast
367,Damask,Grey,Male,t,7311,normal,Office,Enugu,Low,Traditional,Slow
368,Cashmen,Yellow,Male,t,7534,normal,Wedding,Port Harcourt,Medium,Traditional,Fast
369,Crepe,White,Female,t,7034,festival,Casual,Kano,Low,Fashion,Slow
370,Irish,Blue,Male,t,5414,festival,Casual,Lagos,Low,Fashion,Slow
371,Crepe,Cream,Female,t,5826,normal,Wedding,Ibadan,Medium,Traditional,Fast
372,Linen,pitch,Female,t,6660,normal,Wedding,Enugu,Low,Fashion,Fast
373,Irish,Olive,Female,t,7621,normal,Casual,Kano,Medium,Casual,Fast
374,Cashmen,Pink,Male,t,4716,festival,Office,Ibadan,Low,Casual,Slow
375,Irish,Pink,Male,t,3092,festival,Office,Ibadan,Low,Corporate,Fast
376,Silk,Red,Male,t,2700,normal,Office,Lagos,Low,Corporate,Slow
377,Milkado,Yellow,Female,t,2077,normal,Office,Kano,High,Casual,Fast
378,Licra,Red,Male,t,5142,normal,Wedding,Abeokuta,Medium,Casual,Slow
379,Irish,Pink,Female,t,2484,festival,Party,Abeokuta,High,Casual,Fast
380,Licra,wine,Female,t,4656,normal,Casual,Lagos,Medium,Fashion,Fast
381,Chinox,lilac,Male,t,6925,festival,Casual,Enugu,High,Corporate,Fast
382,Rib,Black,Female,t,2341,festival,Party,Benin,Low,Traditional,Fast
383,Licra,Red,Male,t,5511,normal,Church,Abeokuta,Low,Corporate,Fast
384,Crepe,White,Female,t,4322,festival,Party,Benin,High,Casual,Fast
385,Jonkoso,wine,Male,t,4251,festival,Church,Kano,High,Fashion,Fast
386,Sevenstar,pitch,Male,t,4332,normal,Office,Port Harcourt,Low,Casual,Fast
387,Cashmen,Red,Female,t,4664,normal,Church,Ibadan,Medium,Casual,Fast
388,Rib,Red,Male,t,3822,festival,Church,Abeokuta,Low,Corporate,Fast
389,Damask,pitch,Female,t,4262,festival,Church,Enugu,Medium,Traditional,Slow
390,Irish,orange,Female,t,6799,normal,Wedding,Kano,High,Casual,Fast
391,Milkado,Red,Female,t,7068,normal,Wedding,Lagos,Medium,Traditional,Fast
392,Damask,magenta,Female,t,5164,festival,Office,Enugu,Medium,Fashion,Fast
393,Chinox,Pink,Female,t,6411,normal,Office,Ibadan,Medium,Traditional,Slow
394,Jeans,Olive,Female,t,6577,normal,Wedding,Benin,High,Casual,Slow
395,Rib,Cream,Male,t,4429,festival,Wedding,Kano,Medium,Fashion,Fast
396,Linen,Green,Female,t,7369,festival,Church,Abuja,High,Corporate,Fast
397,Irish,Olive,Female,t,7579,normal,Wedding,Lagos,Low,Fashion,Fast
398,Jonkoso,White,Female,t,2230,normal,Wedding,Lagos,High,Traditional,Fast
399,Chinox,magenta,Female,t,5909,festival,Office,Kano,High,Fashion,Fast
400,Irish,Pink,Male,t,2238,festival,Casual,Ibadan,High,Traditional,Fast
401,Jonkoso,pitch,Female,t,6718,normal,Office,Ibadan,High,Corporate,Fast
402,Silk,wine,Male,t,5743,normal,Church,Ibadan,High,Corporate,Slow
403,Rib,Violet,Male,t,3329,normal,Party,Ibadan,High,Traditional,Fast
404,Brocade,Pink,Female,t,7218,normal,Office,Kano,High,Casual,Slow
405,Chinox,wine,Male,t,6215,festival,Party,Abeokuta,High,Corporate,Slow
406,Silk,Yellow,Male,t,5136,festival,Casual,Port Harcourt,High,Corporate,Fast
407,Licra,Black,Male,t,3935,normal,Party,Enugu,Low,Corporate,Slow
408,Irish,Grey,Female,t,6065,festival,Wedding,Port Harcourt,Medium,Corporate,Slow
409,Crepe,magenta,Male,t,6477,festival,Party,Lagos,Medium,Fashion,Fast
410,Rib,Red,Male,t,6134,normal,Casual,Lagos,High,Traditional,Fast
411,Jeans,orange,Female,t,5302,festival,Wedding,Benin,Low,Fashion,Fast
412,Rib,Grey,Female,t,5047,normal,Casual,Ibadan,Medium,Casual,Slow
413,Crepe,Olive,Female,t,5723,normal,Wedding,Abeokuta,Medium,Corporate,Slow
414,Jonkoso,Green,Female,t,6972,festival,Wedding,Benin,High,Corporate,Fast
415,Cashmen,wine,Female,t,5781,normal,Church,Abuja,Low,Casual,Fast
416,Rib,Yellow,Female,t,4777,normal,Party,Kano,Low,Fashion,Fast
417,Cashmen,Yellow,Male,t,4279,festival,Wedding,Kano,High,Corporate,Fast
418,Jeans,pitch,Male,t,5519,festival,Office,Abuja,Medium,Traditional,Slow
419,Brocade,Olive,Male,t,7234,normal,Casual,Port Harcourt,Medium,Casual,Fast
420,Rib,lilac,Female,t,3919,normal,Party,Enugu,High,Casual,Slow
421,Chinox,White,Male,t,2337,festival,Church,Benin,Low,Corporate,Slow
422,Damask,Yellow,Male,t,5541,normal,Casual,Lagos,Medium,Casual,Slow
423,Rib,Black,Male,t,6938,normal,Church,Kano,High,Fashion,Slow
424,Crepe,Brown,Female,t,6361,normal,Casual,Lagos,Low,Fashion,Slow
425,Chinox,Olive,Female,t,2439,normal,Party,Abuja,High,Casual,Fast
426,Jonkoso,orange,Male,t,3839,normal,Wedding,Abuja,High,Traditional,Fast
427,Rib,orange,Female,t,7719,normal,Party,Benin,Low,Fashion,Fast
428,Crepe,White,Male,t,4253,normal,Casual,Lagos,Medium,Fashion,Slow
429,Milkado,wine,Female,t,5187,festival,Party,Benin,Medium,Fashion,Fast
430,Linen,lilac,Male,t,2397,festival,Wedding,Benin,High,Fashion,Fast
431,Cashmen,lilac,Female,t,4982,festival,Wedding,Ibadan,Medium,Corporate,Slow
432,Cashmen,Violet,Female,t,3832,normal,Party,Enugu,High,Casual,Slow
433,Rib,Green,Female,t,4423,festival,Party,Enugu,Low,Corporate,Fast
434,Jonkoso,Red,Female,t,6797,normal,Church,Enugu,Low,Corporate,Fast
435,Damask,wine,Male,t,2871,festival,Casual,Port Harcourt,Medium,Corporate,Slow
436,Rib,White,Female,t,6976,normal,Wedding,Kano,High,Casual,Fast
437,Rib,Green,Male,t,4030,festival,Wedding,Lagos,High,Traditional,Fast
438,Chinox,Green,Male,t,2571,normal,Party,Port Harcourt,High,Corporate,Fast
439,Licra,Brown,Male,t,5325,festival,Church,Abeokuta,Low,Traditional,Fast
440,Sevenstar,Black,Female,t,5547,normal,Party,Kano,High,Fashion,Fast
441,Chinox,Black,Female,t,3826,festival,Wedding,Abeokuta,High,Fashion,Fast
442,Sevenstar,Violet,Female,t,6725,normal,Church,Kano,High,Traditional,Fast
443,Damask,Cream,Male,t,4391,normal,Church,Lagos,Medium,Casual,Fast
444,Crepe,Cream,Female,t,3371,normal,Church,Ibadan,Low,Casual,Slow
445,Cashmen,White,Female,t,7156,festival,Wedding,Abuja,Low,Casual,Slow
446,Chinox,Violet,Male,t,2756,festival,Office,Enugu,High,Fashion,Fast
447,Jeans,orange,Male,t,2101,normal,Church,Benin,High,Traditional,Fast
448,Brocade,Green,Female,t,7441,normal,Church,Benin,Low,Corporate,Slow
449,Cashmen,wine,Male,t,7102,normal,Wedding,Abuja,Medium,Fashion,Fast
450,Licra,Green,Female,t,6648,normal,Casual,Ibadan,Low,Fashion,Fast
451,Jeans,lilac,Male,t,4275,festival,Party,Ibadan,Medium,Fashion,Fast
452,Milkado,Olive,Female,t,5519,normal,Party,Abuja,High,Traditional,Fast
453,Jonkoso,White,Male,t,3210,normal,Office,Abeokuta,Medium,Fashion,Slow
454,Milkado,magenta,Female,t,3207,normal,Wedding,Benin,Low,Corporate,Slow
455,Crepe,Brown,Female,t,4954,festival,Casual,Abeokuta,Medium,Fashion,Fast
456,Licra,Grey,Male,t,4704,festival,Office,Lagos,High,Fashion,Slow
457,Jeans,Olive,Male,t,3678,festival,Wedding,Enugu,Low,Casual,Slow
458,Licra,orange,Female,t,7180,normal,Church,Kano,Low,Fashion,Fast
459,Jonkoso,Olive,Female,t,4785,normal,Casual,Abeokuta,Medium,Fashion,Slow
460,Milkado,White,Female,t,6292,normal,Party,Enugu,Low,Traditional,Fast
461,Brocade,Black,Female,t,2226,festival,Wedding,Abeokuta,High,Traditional,Fast
462,Jeans,Grey,Female,t,7259,normal,Party,Port Harcourt,High,Casual,Slow
463,Licra,pitch,Male,t,6645,festival,Office,Enugu,Low,Corporate,Slow
464,Damask,Pink,Female,t,2253,normal,Church,Port Harcourt,Medium,Traditional,Fast
465,Silk,Blue,Male,t,5515,normal,Office,Benin,Low,Casual,Slow
466,Chinox,pitch,Female,t,7001,normal,Casual,Abuja,High,Casual,Fast
467,Jonkoso,Violet,Female,t,7478,festival,Party,Lagos,Medium,Traditional,Fast
468,Rib,White,Male,t,7470,festival,Wedding,Kano,Medium,Fashion,Fast
469,Linen,Yellow,Male,t,7491,festival,Party,Ibadan,High,Fashion,Fast
470,Jonkoso,magenta,Female,t,3871,normal,Casual,Abuja,Medium,Traditional,Fast
471,Brocade,pitch,Female,t,5866,festival,Wedding,Lagos,High,Fashion,Fast
472,Chinox,Grey,Male,t,2847,festival,Church,Benin,High,Casual,Fast
473,Brocade,wine,Male,t,7877,normal,Casual,Abuja,High,Corporate,Slow
474,Chinox,Violet,Female,t,3726,normal,Church,Benin,High,Traditional,Slow
475,Jeans,Violet,Female,t,5028,normal,Office,Benin,Low,Casual,Slow
476,Irish,Cream,Male,t,4827,festival,Church,Benin,Medium,Traditional,Fast
477,Jonkoso,Blue,Male,t,3369,festival,Office,Abuja,High,Fashion,Fast
478,Irish,White,Male,t,7367,festival,Office,Port Harcourt,Low,Traditional,Fast
479,Chinox,Blue,Female,t,5067,festival,Party,Ibadan,Medium,Corporate,Slow
480,Sevenstar,Olive,Female,t,4601,festival,Wedding,Enugu,Medium,Traditional,Fast
481,Silk,Olive,Male,t,2275,festival,Church,Port Harcourt,High,Traditional,Fast
482,Damask,Violet,Male,t,3859,festival,Church,Kano,Low,Corporate,Slow
483,Cashmen,White,Male,t,7223,festival,Casual,Ibadan,Medium,Traditional,Slow
484,Irish,Grey,Male,t,3853,festival,Casual,Abeokuta,Low,Fashion,Fast
485,Silk,orange,Male,t,5539,festival,Church,Abeokuta,High,Casual,Slow
486,Chinox,Olive,Female,t,5127,normal,Office,Abuja,High,Corporate,Slow
487,Damask,orange,Male,t,7930,festival,Casual,Enugu,High,Traditional,Fast
488,Crepe,wine,Male,t,4432,festival,Church,Kano,Medium,Traditional,Slow
489,Milkado,orange,Female,t,2831,festival,Wedding,Port Harcourt,Medium,Fashion,Fast
490,Sevenstar,White,Male,t,4883,normal,Church,Kano,Medium,Fashion,Fast
491,Jeans,White,Female,t,2724,festival,Party,Abuja,High,Fashion,Fast
492,Brocade,Brown,Male,t,2756,festival,Casual,Port Harcourt,Low,Corporate,Slow
493,Sevenstar,Yellow,Female,t,6997,normal,Party,Lagos,Medium,Casual,Slow
494,Linen,Violet,Female,t,5687,normal,Wedding,Enugu,High,Fashion,Fast
495,Cashmen,Cream,Female,t,2926,festival,Wedding,Ibadan,Low,Corporate,Slow
496,Brocade,Brown,Female,t,5160,normal,Party,Lagos,Low,Fashion,Fast
497,Irish,White,Female,t,7313,normal,Wedding,Enugu,Low,Traditional,Fast
498,Chinox,Brown,Female,t,5197,normal,Casual,Port Harcourt,Low,Corporate,Fast
499,Milkado,Blue,Female,t,3424,festival,Office,Enugu,Low,Traditional,Slow
500,Brocade,Green,Male,t,5920,festival,Wedding,Ibadan,Medium,Casual,Fast
